[7] 2016-06-23 11:14:57,410 [main] DEBUG [io.netty.channel.MultithreadEventLoopGroup]: -Dio.netty.eventLoopThreads: 8
[24] 2016-06-23 11:14:57,427 [main] DEBUG [io.netty.util.internal.PlatformDependent0]: java.nio.Buffer.address: available
[24] 2016-06-23 11:14:57,427 [main] DEBUG [io.netty.util.internal.PlatformDependent0]: sun.misc.Unsafe.theUnsafe: available
[24] 2016-06-23 11:14:57,427 [main] DEBUG [io.netty.util.internal.PlatformDependent0]: sun.misc.Unsafe.copyMemory: available
[24] 2016-06-23 11:14:57,427 [main] DEBUG [io.netty.util.internal.PlatformDependent0]: java.nio.Bits.unaligned: true
[25] 2016-06-23 11:14:57,428 [main] DEBUG [io.netty.util.internal.PlatformDependent0]: java.nio.DirectByteBuffer.<init>(long, int): available
[25] 2016-06-23 11:14:57,428 [main] DEBUG [io.netty.util.internal.PlatformDependent]: Platform: Windows
[25] 2016-06-23 11:14:57,428 [main] DEBUG [io.netty.util.internal.PlatformDependent]: Java version: 8
[25] 2016-06-23 11:14:57,428 [main] DEBUG [io.netty.util.internal.PlatformDependent]: -Dio.netty.noUnsafe: false
[26] 2016-06-23 11:14:57,429 [main] DEBUG [io.netty.util.internal.PlatformDependent]: sun.misc.Unsafe: available
[26] 2016-06-23 11:14:57,429 [main] DEBUG [io.netty.util.internal.PlatformDependent]: -Dio.netty.noJavassist: false
[26] 2016-06-23 11:14:57,429 [main] DEBUG [io.netty.util.internal.PlatformDependent]: Javassist: unavailable
[26] 2016-06-23 11:14:57,429 [main] DEBUG [io.netty.util.internal.PlatformDependent]: You don't have Javassist in your class path or you don't have enough permission to load dynamically generated classes.  Please check the configuration for better performance.
[27] 2016-06-23 11:14:57,430 [main] DEBUG [io.netty.util.internal.PlatformDependent]: -Dio.netty.tmpdir: C:\Users\ADMINI~1\AppData\Local\Temp (java.io.tmpdir)
[27] 2016-06-23 11:14:57,430 [main] DEBUG [io.netty.util.internal.PlatformDependent]: -Dio.netty.bitMode: 64 (sun.arch.data.model)
[27] 2016-06-23 11:14:57,430 [main] DEBUG [io.netty.util.internal.PlatformDependent]: -Dio.netty.noPreferDirect: false
[27] 2016-06-23 11:14:57,430 [main] DEBUG [io.netty.util.internal.PlatformDependent]: io.netty.maxDirectMemory: 1888485376 bytes
[46] 2016-06-23 11:14:57,449 [main] DEBUG [io.netty.channel.nio.NioEventLoop]: -Dio.netty.noKeySetOptimization: false
[46] 2016-06-23 11:14:57,449 [main] DEBUG [io.netty.channel.nio.NioEventLoop]: -Dio.netty.selectorAutoRebuildThreshold: 512
[101] 2016-06-23 11:14:57,504 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@24a35978
[102] 2016-06-23 11:14:57,505 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@16f7c8c1
[103] 2016-06-23 11:14:57,506 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@2f0a87b3
[103] 2016-06-23 11:14:57,506 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@319b92f3
[103] 2016-06-23 11:14:57,506 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@fcd6521
[104] 2016-06-23 11:14:57,507 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@27d415d9
[104] 2016-06-23 11:14:57,507 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@5c18298f
[104] 2016-06-23 11:14:57,507 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@31f924f5
[106] 2016-06-23 11:14:57,509 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@68ceda24
[106] 2016-06-23 11:14:57,509 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@281e3708
[106] 2016-06-23 11:14:57,509 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@35a50a4c
[107] 2016-06-23 11:14:57,510 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@1f021e6c
[107] 2016-06-23 11:14:57,510 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@103f852
[108] 2016-06-23 11:14:57,511 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@587c290d
[108] 2016-06-23 11:14:57,511 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@4516af24
[108] 2016-06-23 11:14:57,511 [main] TRACE [io.netty.channel.nio.NioEventLoop]: Instrumented an optimized java.util.Set into: sun.nio.ch.WindowsSelectorImpl@4ae82894
[128] 2016-06-23 11:14:57,531 [main] DEBUG [io.netty.channel.DefaultChannelId]: -Dio.netty.processId: 7992 (auto-detected)
[149] 2016-06-23 11:14:57,552 [main] DEBUG [io.netty.util.NetUtil]: Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
[150] 2016-06-23 11:14:57,553 [main] DEBUG [io.netty.util.NetUtil]: \proc\sys\net\core\somaxconn: 200 (non-existent)
